Title,Description,Priority,Status,Assignee,Labels
"Inicializar projeto Rails 8","Criar novo projeto Rails 8 com Tailwind CSS e PostgreSQL

**Comandos:**
```bash
rails new finance_app --css=tailwind --database=postgresql
cd finance_app
git init && git add . && git commit -m 'Initial commit'
```

**Acceptance Criteria:**
- [ ] Projeto Rails 8 criado
- [ ] Tailwind CSS configurado
- [ ] PostgreSQL como database
- [ ] Repositório GitHub inicializado",1,Backlog,,"setup,rails8,backend,cycle:setup-foundation"
"Configurar autenticação com Devise","Implementar sistema de login/logout para usuários

**Tasks:**
- Instalar gem Devise
- Gerar model User
- Customizar views com Tailwind
- Configurar proteção de rotas

**Acceptance Criteria:**
- [ ] Gem Devise instalada
- [ ] Model User gerado
- [ ] Views de login/register estilizadas
- [ ] Proteção de rotas implementada",1,Backlog,,"auth,backend,devise,cycle:setup-foundation"
"Setup Docker + Docker Compose","Containerizar aplicação para desenvolvimento

**Arquivos necessários:**
- Dockerfile
- docker-compose.yml
- entrypoint.sh

**Acceptance Criteria:**
- [ ] Dockerfile criado
- [ ] docker-compose.yml configurado
- [ ] entrypoint.sh funcional
- [ ] App rodando via docker-compose up",2,Backlog,,"docker,setup,devops,cycle:setup-foundation"
"Criar model Category","Model para categorizar transações financeiras

**Fields:**
- name:string
- color:string
- user:references

**Acceptance Criteria:**
- [ ] Migration criada
- [ ] Model com validações
- [ ] Seeds com categorias padrão
- [ ] Associação has_many :transactions",1,Backlog,,"backend,model,database,cycle:core-models"
"Criar model Transaction","Model principal para receitas e despesas

**Fields:**
- amount:decimal
- transaction_type:string (income/expense)
- date:date
- description:text
- user:references
- category:references

**Acceptance Criteria:**
- [ ] Migration criada
- [ ] Validações e scopes
- [ ] Belongs_to user e category
- [ ] Enum para transaction_type",1,Backlog,,"backend,model,database,cycle:core-models"
"CRUD de Categories","Interface para gerenciar categorias

**Features:**
- Listagem de categorias
- Formulário de criação/edição
- Color picker
- Validação frontend

**Acceptance Criteria:**
- [ ] Controller + routes
- [ ] Views index/show/new/edit
- [ ] Formulários estilizados
- [ ] Color picker para cores",2,Backlog,,"frontend,crud,ui,cycle:core-models"
"CRUD de Transactions","Interface para receitas e despesas

**Features:**
- Listagem paginada
- Formulário com select de categoria
- Filtros básicos
- Responsividade mobile

**Acceptance Criteria:**
- [ ] Controller com filtros
- [ ] Views responsivas
- [ ] Formulário com select de categoria
- [ ] Listagem paginada",1,Backlog,,"frontend,crud,ui,cycle:core-models"
"Configurar Hotwire (Turbo + Stimulus)","Setup para features reativas sem JavaScript complexo

**Components:**
- Turbo Rails
- Stimulus controllers
- Turbo Frames
- Navigation optimization

**Acceptance Criteria:**
- [ ] Turbo Rails configurado
- [ ] Stimulus controllers básicos
- [ ] Turbo Frames implementados
- [ ] Navegação sem refresh",1,Backlog,,"hotwire,frontend,setup,cycle:hotwire-realtime"
"Saldo em tempo real com Turbo Streams","Atualização automática do saldo total após mudanças

**Features:**
- Helper para calcular saldo
- Broadcast após CRUD transactions
- Componente reativo
- Animações suaves

**Acceptance Criteria:**
- [ ] Helper para calcular saldo
- [ ] Turbo Stream após criar/editar transação
- [ ] Componente de saldo atualizado
- [ ] Animações de transição",1,Backlog,,"hotwire,turbo-streams,real-time,cycle:hotwire-realtime"
"Filtros dinâmicos com Stimulus","Filtrar transações sem reload da página

**Filters:**
- Por data (range)
- Por tipo (income/expense)
- Por categoria
- Por texto (description)

**Acceptance Criteria:**
- [ ] Controller Stimulus para filtros
- [ ] Filtros por data, tipo, categoria
- [ ] URL state management
- [ ] Debounce em campos de texto",2,Backlog,,"hotwire,stimulus,filters,cycle:hotwire-realtime"
"Adição instantânea via Turbo Frame","Modal/form inline para nova transação

**Features:**
- Modal responsivo
- Formulário embarcado
- Validação em tempo real
- UX otimizada

**Acceptance Criteria:**
- [ ] Modal responsivo
- [ ] Turbo Frame para formulário
- [ ] Validação em tempo real
- [ ] Fechamento automático",2,Backlog,,"hotwire,turbo-frame,ux,cycle:hotwire-realtime"
"Dashboard principal","Página inicial com resumo financeiro

**Components:**
- Cards de saldo
- Resumo mensal/anual
- Últimas transações
- Layout responsivo

**Acceptance Criteria:**
- [ ] Layout de cards responsivo
- [ ] Saldo atual destacado
- [ ] Resumo mensal/anual
- [ ] Últimas transações",1,Backlog,,"dashboard,ui,frontend,cycle:dashboard-charts"
